n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
0,50,1761,476,133,13,15,23,3,1,0,0,5,6,3,10,5,0,0,0,0,0,57,7,7,7,9
1,175,1843,494,137,15,17,25,3,1,1,0,6,6,3,11,5,0,0,0,0,0,64,8,8,6,8
2,296,1665,440,122,15,16,24,3,1,1,0,6,6,3,11,5,0,0,0,0,0,65,9,8,5,7
3,423,1274,333,93,14,15,20,3,1,1,0,5,5,2,12,5,0,0,0,0,0,59,9,8,4,5
4,547,824,209,60,13,12,14,3,1,1,0,5,4,2,13,5,0,0,0,0,0,48,9,8,3,4
5,673,424,106,31,10,8,9,2,0,1,0,6,5,2,14,7,0,0,0,0,0,37,9,7,3,3
6,801,174,42,14,8,6,6,3,0,1,1,10,9,3,15,10,0,0,0,0,0,31,10,6,3,2
7,922,58,17,7,6,4,7,4,0,1,1,17,15,5,16,16,0,0,0,0,0,31,12,5,3,2
8,1050,39,16,7,5,3,9,6,1,1,1,27,22,8,16,21,0,0,0,0,0,41,16,5,3,2
9,1173,48,23,9,4,3,11,10,1,1,1,38,30,11,16,26,0,0,0,0,0,56,22,6,3,2
10,1300,61,30,11,4,3,14,14,1,1,1,47,36,13,15,27,0,0,0,0,0,73,29,8,3,2
11,1423,71,37,14,4,3,16,19,2,1,1,51,39,14,13,25,0,0,0,0,0,86,36,10,3,2
12,1547,78,43,16,3,2,18,21,3,1,1,51,39,14,10,21,0,0,0,0,0,92,42,12,3,2
13,1675,82,44,18,3,2,17,22,3,1,1,45,36,12,7,15,1,0,0,0,0,93,44,14,3,2
14,1798,81,43,19,3,2,15,20,3,1,1,36,32,10,5,9,2,0,0,0,0,87,42,15,2,1
15,1921,78,38,18,2,1,13,16,2,1,0,26,26,8,4,5,6,0,0,0,1,77,38,16,2,1
16,2048,71,32,17,2,1,9,11,2,1,0,18,20,5,3,3,10,1,1,0,1,64,31,15,2,1
17,2173,60,25,14,2,1,6,7,1,1,0,11,15,3,2,2,17,2,1,1,2,51,24,13,1,1
18,2297,48,19,11,1,1,3,3,1,1,0,7,10,2,2,2,21,3,1,1,2,37,17,11,1,1
19,2423,36,14,8,1,1,1,1,0,1,0,4,7,1,2,2,27,3,1,1,2,27,12,8,1,1
20,2547,26,10,6,1,1,1,1,0,0,0,3,5,1,2,2,25,4,1,1,2,19,8,6,1,1
21,2674,19,8,4,1,1,0,1,0,0,0,2,4,1,2,2,24,4,1,1,2,14,6,4,1,1
22,2801,16,6,3,1,1,0,1,0,0,0,3,3,0,2,2,18,4,1,1,1,12,4,3,1,1
23,2921,14,5,2,1,1,1,1,0,0,0,3,3,0,2,2,14,3,1,1,2,11,4,2,1,1
24,3047,12,5,2,1,1,1,1,0,0,0,3,2,0,2,2,9,3,1,1,2,11,4,2,1,1
25,3173,11,6,1,1,1,1,1,1,0,0,2,2,0,2,2,6,2,1,2,3,10,5,2,1,1
26,3298,10,6,1,1,1,1,0,1,0,0,2,2,0,2,2,4,1,1,2,5,11,5,2,1,1
27,3422,11,6,1,1,1,1,0,0,0,0,2,2,1,3,2,3,1,1,3,6,13,5,2,1,1
28,3547,12,6,1,1,1,1,0,0,0,0,2,1,1,3,2,2,1,1,3,6,15,5,2,1,1
29,3673,13,5,1,1,1,1,0,0,0,0,2,1,1,2,2,2,1,0,3,6,18,4,2,1,1
30,3810,16,5,2,1,1,1,0,0,0,0,2,1,1,2,2,1,1,0,2,6,21,4,3,1,1
31,3921,20,4,2,1,1,1,0,1,0,0,2,1,1,2,2,2,1,0,2,5,25,4,3,1,1
32,4048,26,4,3,1,1,1,0,1,0,0,2,1,1,2,2,1,1,0,2,4,28,3,3,1,1
33,4174,34,4,3,1,1,0,0,1,0,0,2,1,1,2,2,1,0,0,2,3,33,3,3,1,1
34,4297,42,4,3,1,2,0,0,1,0,0,2,1,1,2,2,1,0,0,2,3,35,3,3,2,2
35,4423,47,4,3,1,2,1,0,1,0,0,2,1,1,2,2,1,0,0,2,3,37,3,3,2,2
36,4548,48,4,3,2,2,1,0,1,0,0,2,1,1,2,2,1,0,0,2,3,34,3,3,2,2
37,4673,43,4,3,2,2,1,0,1,0,0,2,2,1,2,2,1,0,0,2,4,29,3,3,2,2
38,4799,35,4,3,2,2,1,0,1,0,0,2,2,1,2,3,1,0,0,2,4,22,3,3,2,2
39,4922,24,3,3,1,1,1,0,1,0,0,3,2,1,2,2,1,0,0,2,5,15,3,3,1,2
40,5047,15,3,3,1,1,1,1,1,0,0,3,2,1,2,2,1,0,0,2,6,10,3,3,1,1
41,5172,9,4,3,1,1,1,1,0,0,0,3,2,1,2,2,2,1,0,2,7,8,3,2,1,1
42,5296,7,4,3,1,1,1,1,0,1,0,2,2,1,2,2,2,1,0,3,8,8,3,2,1,1
43,5424,7,4,3,1,1,1,1,0,1,0,2,1,1,2,2,4,1,1,3,8,8,4,2,1,1
44,5547,7,5,3,1,1,1,1,0,1,0,1,1,0,2,2,4,1,1,3,8,9,4,3,1,1
45,5673,9,6,4,1,1,1,1,1,1,0,1,1,0,2,2,6,1,1,3,8,10,4,4,1,1
46,5804,11,7,6,1,1,1,1,1,1,0,1,1,0,2,2,6,1,1,3,7,10,5,6,1,1
47,5922,12,7,7,1,1,1,1,1,1,0,1,1,1,1,2,7,1,1,3,6,10,5,7,1,1
48,6047,13,7,8,1,1,1,1,1,1,0,1,1,1,1,2,7,1,1,2,5,10,5,7,1,1
49,6174,13,7,8,1,1,1,1,1,1,0,1,1,1,1,2,7,1,1,2,4,11,5,8,1,1
50,6297,12,6,7,1,1,1,1,1,1,0,1,1,1,1,2,7,1,1,2,3,10,5,7,1,1
51,6424,11,5,6,1,1,1,1,1,1,0,1,1,1,1,2,6,2,1,1,2,10,4,6,1,1
52,6547,10,4,4,0,1,1,1,1,1,0,1,2,1,1,2,6,2,1,1,1,9,4,4,1,1
53,6673,9,3,3,0,1,1,1,1,0,0,1,2,1,2,2,6,2,1,1,1,8,3,3,0,1
54,6797,8,3,2,0,1,1,1,0,0,0,1,2,1,2,2,6,2,1,1,1,7,3,2,0,1
55,6921,7,3,2,1,1,1,1,0,0,0,1,2,1,2,2,7,2,1,1,1,6,3,2,1,1
56,7048,7,3,3,1,1,2,1,0,0,0,1,2,1,2,2,7,2,1,1,1,6,3,1,1,1
57,7173,9,5,3,1,1,2,1,0,0,0,1,2,1,2,2,8,2,1,1,1,7,4,1,1,1
58,7297,12,6,3,1,1,2,1,0,0,0,1,2,1,2,2,8,2,1,1,1,10,6,2,1,1
59,7423,16,8,4,1,1,2,1,1,0,0,1,2,1,2,3,8,2,1,1,1,14,8,2,1,1
60,7548,21,10,4,1,1,2,0,1,0,0,1,2,1,2,2,7,2,1,1,1,17,9,2,1,1
61,7672,23,11,4,1,1,1,0,1,0,0,1,2,1,1,2,6,2,1,1,1,18,9,2,1,1
62,7797,22,10,3,1,1,1,0,1,0,0,1,1,1,1,2,5,2,1,1,1,18,8,2,1,1
63,7923,19,9,3,1,1,1,0,0,0,0,1,1,0,1,2,4,2,1,1,1,15,7,2,1,1
64,8048,14,7,3,1,1,1,0,0,0,0,1,1,0,1,2,4,2,1,1,1,12,5,2,1,0
65,8172,9,5,2,0,0,1,0,0,0,0,1,1,0,1,2,4,3,1,1,1,8,4,2,0,0
66,8297,6,4,2,0,0,1,0,0,0,0,1,2,0,1,2,5,4,2,1,1,5,3,2,0,0
67,8423,3,3,2,0,0,1,0,0,0,0,1,1,0,1,2,6,5,2,1,1,4,3,2,0,0
68,8547,3,3,1,1,0,1,0,0,0,0,1,1,0,1,2,7,5,2,1,1,4,3,1,0,0
69,8673,3,3,1,1,0,1,0,0,0,0,1,1,0,1,2,8,6,2,1,1,4,3,1,0,0
70,8797,3,3,1,1,0,0,1,0,1,0,2,1,0,1,2,8,6,1,1,1,5,4,1,0,0
71,8921,4,3,1,1,0,0,1,0,1,0,2,1,0,1,2,8,6,1,1,1,5,4,1,0,0
72,9047,6,4,1,0,0,0,1,1,1,0,2,1,0,1,2,6,5,1,1,1,6,4,1,0,0
73,9173,12,5,2,0,1,0,1,1,1,0,3,1,1,1,2,5,4,1,1,1,10,5,2,0,0
74,9297,23,6,2,0,1,0,1,1,1,0,3,1,1,1,2,4,2,1,1,1,18,5,2,0,0
75,9422,41,8,3,0,1,0,0,1,0,0,2,1,1,1,2,4,2,1,1,1,30,6,2,0,0
76,9548,59,9,3,0,1,0,0,1,0,0,2,1,1,1,2,4,1,1,1,1,41,6,3,0,0
77,9674,73,11,4,1,1,1,0,0,0,0,2,1,1,1,2,4,1,1,1,1,50,7,3,0,0
78,9804,77,12,4,1,1,1,0,0,0,0,2,1,1,1,2,4,2,1,1,1,52,8,3,1,0
79,9922,72,12,3,1,1,1,0,0,0,0,2,1,1,1,2,4,3,1,1,1,47,9,2,1,0
80,10048,57,11,3,1,1,1,0,0,0,0,2,1,1,1,2,5,4,1,1,1,38,9,2,1,0
81,10172,39,10,2,1,1,1,0,0,0,0,2,2,1,1,2,6,5,1,1,1,26,8,2,1,0
82,10298,23,8,2,1,0,1,0,0,0,0,2,2,1,1,2,7,5,1,1,1,17,7,1,1,0
83,10422,13,6,1,1,0,1,1,0,0,0,2,2,1,1,2,8,5,1,1,1,10,6,1,1,0
84,10548,8,5,1,1,0,1,1,1,0,0,2,1,1,1,2,8,5,1,1,1,8,5,1,1,0
85,10674,7,4,1,1,0,1,1,1,0,0,2,1,1,1,2,8,4,1,1,1,7,4,1,1,0
86,10810,7,3,1,0,0,1,1,1,0,0,2,1,1,1,2,7,4,1,1,1,7,3,2,1,0
87,10922,7,3,2,0,0,1,1,1,0,0,2,1,1,1,2,6,4,1,1,1,6,3,2,1,0
88,11047,7,2,2,0,0,1,1,1,0,0,2,1,0,1,2,5,3,1,1,1,6,3,2,1,0
89,11173,7,2,3,0,0,1,1,1,0,0,1,1,1,2,2,6,3,1,1,1,6,2,3,0,0
90,11298,6,2,3,0,0,1,1,1,0,0,1,1,1,2,2,7,3,1,1,1,6,2,3,0,0
91,11423,7,2,4,0,0,1,1,1,1,0,1,1,1,2,2,8,3,1,1,1,7,2,4,0,0
92,11548,7,3,4,0,0,1,1,1,1,0,1,1,1,2,2,9,3,1,1,1,7,3,4,0,0
93,11672,8,3,3,1,0,1,1,1,1,0,1,1,1,2,2,9,3,1,1,1,7,3,3,0,0
94,11798,10,3,3,1,0,1,1,1,1,0,1,1,1,2,2,9,3,1,1,1,7,3,3,1,0
95,11923,13,4,2,1,0,1,1,0,1,0,1,1,1,2,2,9,3,2,1,1,9,3,2,1,0
96,12047,17,5,2,1,0,1,1,0,1,0,1,1,1,2,2,9,2,2,1,1,11,3,2,1,0
97,12172,20,5,1,1,0,1,1,0,1,0,1,1,1,2,2,9,2,2,1,1,12,3,1,1,0
98,12299,21,6,2,1,0,1,1,0,1,0,1,1,1,2,2,9,1,1,1,1,14,3,1,1,0
99,12424,21,6,2,1,0,1,0,1,0,0,1,1,1,2,2,8,1,1,1,1,13,3,1,1,0
100,12548,19,5,2,1,0,1,0,1,0,0,1,1,1,2,2,8,1,1,1,1,12,3,2,1,0
101,12673,17,5,3,1,0,1,0,1,0,0,1,0,1,2,2,7,1,1,1,1,9,2,2,1,0
102,12798,14,4,4,1,0,1,0,1,0,0,1,0,1,1,2,5,1,1,1,1,6,2,2,1,0
103,12922,12,3,4,1,0,1,0,1,0,0,2,0,1,1,1,4,2,1,0,1,4,1,3,1,0
104,13047,11,3,5,1,0,1,0,1,0,0,2,0,1,1,1,4,1,1,0,1,4,1,3,1,0
105,13172,10,2,4,1,0,1,0,1,0,0,2,0,1,1,1,5,1,1,0,1,4,1,3,1,0
106,13297,9,2,4,1,0,1,0,1,1,0,2,0,1,1,2,5,1,1,0,1,5,1,3,1,0
107,13423,8,2,4,1,0,1,1,1,1,0,1,0,1,1,2,6,1,2,1,1,5,1,3,1,0
108,13547,7,2,3,1,0,1,1,1,0,0,1,0,1,1,2,7,1,2,1,1,6,1,3,1,0
109,13672,7,2,3,1,0,1,1,1,0,0,1,0,1,1,2,8,1,2,1,1,7,2,3,1,0
110,13798,7,3,3,1,0,1,1,1,0,0,1,1,1,1,2,8,1,2,1,1,8,2,3,1,0
111,13923,7,3,3,1,0,1,1,1,0,0,1,1,1,1,1,7,1,1,1,1,8,3,3,1,0
112,14048,8,4,3,1,0,1,1,1,0,0,1,1,0,1,1,6,1,1,1,1,9,3,3,1,0
113,14174,9,4,4,1,0,1,1,1,0,0,1,1,0,1,1,5,2,1,1,1,9,3,4,1,0
114,14297,9,4,4,1,0,0,1,1,0,0,1,1,0,1,2,4,2,1,1,1,10,3,4,1,0
115,14422,9,3,3,1,0,0,1,1,0,0,1,1,0,1,2,4,3,0,1,1,11,2,4,1,0
116,14548,8,3,3,1,0,0,1,0,0,0,2,1,0,1,2,4,4,0,1,1,10,2,3,1,0
117,14672,7,2,3,1,0,1,1,0,0,0,2,2,0,1,2,5,4,0,1,1,9,2,3,1,0
118,14804,6,2,2,1,0,1,0,0,0,0,2,2,0,1,2,5,5,0,1,1,8,2,2,0,0
119,14922,5,2,2,1,0,1,0,0,0,0,2,2,0,1,2,5,4,0,1,1,6,1,2,0,0
120,15047,4,2,2,1,0,2,0,0,0,0,1,1,0,1,2,4,4,0,1,1,5,1,2,0,0
121,15172,4,2,2,1,0,2,0,0,0,0,1,1,0,1,1,4,4,0,1,1,4,1,2,0,0
122,15297,5,2,2,1,0,2,0,0,0,0,1,1,0,1,1,3,4,0,1,1,3,1,2,0,0
123,15424,5,2,2,1,0,2,0,0,0,0,1,1,0,1,2,3,3,0,1,1,3,1,1,0,0
124,15548,5,2,2,1,0,2,0,0,0,0,1,1,0,1,2,3,3,0,1,1,3,1,1,0,0
125,15673,5,2,1,1,0,2,0,0,0,0,1,1,0,1,2,3,2,0,1,1,3,1,1,0,0
126,15808,5,3,1,1,0,1,0,0,0,0,2,1,0,1,2,3,2,0,0,1,4,2,1,0,0
127,15922,5,3,1,1,0,1,0,0,0,0,2,1,0,1,2,3,2,0,0,1,4,3,1,0,0
128,16047,6,4,1,1,1,1,0,0,0,0,2,1,0,1,2,3,2,0,0,1,5,4,1,0,0
129,16175,7,5,1,0,1,1,0,0,0,0,2,1,0,1,2,3,2,0,0,1,6,5,1,0,0
130,16298,10,7,1,0,1,1,0,0,0,0,2,1,0,1,2,3,2,0,0,1,8,6,1,0,0
131,16422,14,8,2,0,1,1,0,0,0,0,2,1,1,1,2,3,2,1,0,1,10,7,1,0,0
132,16548,17,10,2,0,1,1,1,0,0,0,2,1,1,1,2,3,2,1,0,1,12,8,1,0,0
133,16673,19,10,2,0,0,2,1,1,0,0,2,1,1,1,2,3,3,1,0,1,13,8,1,0,0
134,16818,18,10,2,1,0,3,2,1,1,0,2,1,1,1,2,3,3,1,1,1,12,7,1,1,0
135,16921,14,9,1,1,0,4,3,1,1,0,2,1,1,2,2,2,3,1,1,1,10,6,1,1,0
136,17047,11,7,1,1,0,5,4,2,1,0,1,1,1,2,2,2,2,1,1,1,7,5,1,1,0
137,17172,7,6,1,1,0,6,4,2,1,0,1,1,0,2,2,2,2,1,1,1,5,4,2,1,0
138,17297,5,4,1,1,0,6,4,2,1,0,1,1,0,1,2,2,2,1,1,1,4,3,2,1,0
139,17422,4,4,1,1,0,5,3,2,1,0,1,1,0,1,2,3,1,1,1,1,3,3,2,1,0
140,17547,4,4,1,1,0,4,2,1,1,0,1,1,0,1,2,3,1,1,1,1,4,3,2,1,0
141,17672,5,4,1,1,0,3,1,1,1,0,1,1,0,1,2,3,1,1,1,1,5,3,1,1,0
142,17802,6,4,1,1,0,2,1,1,1,0,1,1,0,1,2,4,1,1,1,1,6,3,1,1,0
143,17922,6,4,1,1,0,1,1,1,1,0,1,1,0,1,2,4,1,1,1,1,7,3,1,1,0
144,18048,6,4,1,1,0,1,1,1,1,0,1,1,0,1,2,4,1,1,1,1,7,3,1,1,0
145,18174,6,3,1,0,0,1,0,1,0,0,2,1,0,2,2,3,1,1,1,1,7,3,1,1,0
146,18297,5,3,1,0,0,2,0,1,0,0,2,1,0,2,2,3,1,1,1,1,6,3,1,1,0
147,18423,5,3,1,0,0,2,0,1,0,0,2,1,0,2,2,2,1,1,1,1,5,4,1,1,0
148,18547,4,3,1,0,0,2,1,1,0,0,2,1,0,2,2,2,1,1,1,1,5,4,1,0,0
149,18672,4,3,1,0,0,2,1,1,0,0,2,1,0,2,2,1,1,1,1,1,5,4,1,0,0
150,18806,4,3,1,0,0,2,1,0,0,0,2,1,0,2,2,1,1,1,1,1,4,4,2,0,0
151,18922,4,3,1,0,0,2,1,0,0,0,2,1,0,2,2,1,1,1,1,1,4,4,2,0,0
152,19047,6,3,1,0,1,2,1,0,0,0,2,1,0,1,2,2,1,1,1,1,5,4,2,1,0
153,19173,12,3,2,0,1,2,1,0,0,0,2,1,0,2,2,2,1,1,1,1,9,4,3,1,1
154,19297,23,2,2,0,1,2,1,1,0,0,2,1,0,2,2,2,1,1,1,1,17,3,3,1,1
155,19422,37,2,2,0,1,2,1,1,0,0,1,1,0,2,2,3,1,1,1,1,26,3,3,1,1
156,19548,50,3,1,0,1,2,1,1,0,0,1,1,0,2,2,3,2,2,1,1,35,3,3,1,1
157,19673,59,3,1,0,1,1,1,1,0,0,1,1,0,2,2,4,2,2,1,1,42,3,2,1,1
158,19809,65,3,1,1,1,1,1,1,0,0,1,1,0,2,2,6,2,2,1,1,47,4,2,1,1
159,19921,74,5,1,1,1,1,1,1,0,0,1,1,0,2,2,14,3,2,1,1,58,5,1,1,1
160,20047,97,8,1,1,1,1,1,1,0,0,1,1,0,1,2,33,4,2,1,1,84,7,1,1,1
161,20172,147,15,2,2,1,2,1,1,0,0,1,1,0,1,2,68,6,2,2,1,137,13,1,2,1
162,20298,222,29,3,2,1,4,1,1,0,0,1,2,1,1,2,120,10,2,3,1,215,24,2,2,1
163,20421,310,46,5,3,1,7,1,1,0,0,2,3,1,2,2,181,15,2,4,2,307,38,3,3,1
164,20547,385,63,7,3,1,11,2,2,1,0,2,4,2,2,3,238,19,2,5,2,387,53,4,4,1
165,20672,422,74,9,4,1,14,2,2,1,0,3,6,3,2,3,273,20,2,6,2,430,63,6,4,2
166,20820,409,76,10,4,2,16,2,2,1,0,4,7,4,2,3,278,20,2,6,2,424,65,7,4,2
167,20922,352,68,11,3,1,15,2,2,1,0,5,8,4,2,4,253,18,2,6,2,371,60,9,4,1
168,21048,270,56,11,3,1,13,2,1,1,0,6,9,4,3,4,207,15,3,5,2,290,51,9,4,1
169,21175,187,43,10,3,1,10,2,1,1,0,7,9,4,3,4,155,14,3,4,2,206,40,9,3,1
170,21299,126,33,9,2,1,7,1,1,1,0,8,8,3,3,3,109,15,3,4,2,140,32,8,3,1
171,21421,95,28,7,2,1,5,1,1,1,0,9,7,2,3,3,79,16,3,3,2,105,27,6,3,1
172,21547,90,27,5,2,1,3,1,1,1,0,11,6,2,3,3,65,17,2,3,2,99,26,4,2,1
173,21673,104,29,3,2,1,3,1,1,1,0,13,7,2,3,3,66,18,2,2,2,116,28,3,2,1
174,21803,127,32,2,1,1,4,1,1,1,0,15,9,2,3,3,75,20,2,2,1,145,30,2,2,1
175,21922,148,35,2,1,1,4,1,1,1,0,17,12,2,2,3,86,20,2,1,1,170,32,2,1,1
176,22048,159,35,1,1,1,5,1,1,0,0,18,14,2,2,3,91,19,1,1,1,182,31,2,1,1
177,22173,153,33,1,1,1,5,1,1,0,0,18,15,2,2,2,87,17,1,1,1,172,28,2,1,1
178,22298,132,29,1,1,1,4,1,1,0,0,16,14,2,2,2,73,14,1,1,1,144,23,2,1,1
179,22421,103,23,1,1,1,4,1,0,0,0,15,13,2,1,3,55,11,1,1,2,107,17,2,2,1
180,22548,76,17,1,2,1,3,1,0,0,0,14,11,1,1,3,39,8,2,2,2,72,11,2,2,1
181,22673,54,12,1,2,1,3,1,0,0,0,13,9,1,1,3,30,5,2,2,2,47,7,2,2,1
182,22808,41,9,2,2,1,2,1,0,0,0,12,8,2,1,3,29,5,2,2,2,34,5,2,2,1
183,22922,35,7,2,2,1,2,0,0,0,0,12,7,2,1,3,34,5,2,2,2,31,4,2,2,1
184,23048,36,6,2,3,2,2,0,0,0,0,12,7,2,1,3,45,6,2,2,2,35,4,2,2,1
185,23173,41,6,2,3,2,2,0,0,0,0,13,6,2,1,3,56,6,2,2,3,45,5,2,2,2
186,23297,50,7,2,3,2,2,0,0,0,0,15,5,2,1,3,62,7,3,1,3,56,6,2,2,2
187,23422,58,9,2,3,2,2,0,0,0,0,17,4,2,1,3,62,8,3,1,2,65,8,2,2,2
188,23548,63,10,2,2,2,2,0,0,0,0,17,3,1,1,3,54,8,3,1,2,68,9,2,2,2
189,23673,62,11,2,2,2,2,0,0,0,0,16,2,1,1,3,42,7,3,1,2,64,10,2,1,1
190,23806,55,11,2,2,1,1,0,0,0,0,13,2,1,1,2,29,6,3,1,2,54,9,2,1,1
191,23923,45,9,2,1,1,1,0,0,0,0,10,1,1,1,2,19,5,2,1,1,42,8,2,1,1
192,24047,34,7,2,1,1,1,0,0,0,0,6,1,1,1,2,13,4,2,1,1,29,6,2,1,1
193,24173,24,6,2,1,1,0,0,0,0,0,4,2,0,1,2,10,3,2,1,2,19,5,2,1,1
194,24297,16,5,2,1,1,0,0,0,0,0,5,2,1,1,2,10,2,1,1,2,12,4,2,1,1
195,24423,12,6,3,1,1,0,0,0,0,0,6,4,1,1,2,10,2,1,1,2,9,4,2,1,1
196,24547,11,8,3,1,1,0,1,0,0,0,9,6,1,2,2,10,1,1,1,2,8,5,3,1,1
197,24674,11,10,4,1,1,1,1,0,0,0,11,7,1,2,2,11,2,1,1,1,8,6,3,1,1
198,24814,13,11,5,1,1,1,1,0,0,0,11,9,1,2,2,10,2,2,1,1,9,6,4,1,1
199,24921,14,10,5,1,1,1,1,0,0,0,11,9,1,2,2,9,2,1,1,1,11,6,5,1,1
200,25047,16,8,5,1,1,1,1,1,0,0,9,9,1,2,2,8,2,1,1,1,12,5,6,1,1
201,25175,16,6,5,1,0,1,1,1,0,0,6,7,1,2,2,7,2,1,1,1,14,4,6,1,1
202,25297,16,4,4,1,0,2,1,1,0,0,4,5,1,2,2,6,2,1,1,1,14,3,5,1,1
203,25421,14,3,3,1,0,2,1,1,0,0,2,4,1,3,2,5,2,1,1,1,13,3,4,1,0
204,25547,12,2,2,0,0,2,1,1,0,0,2,2,1,3,2,6,2,1,1,1,12,2,3,1,0
205,25673,11,2,2,0,0,2,1,1,0,0,2,2,1,3,2,6,2,1,1,1,11,2,2,1,0
206,25819,12,3,1,0,0,2,1,0,0,0,2,1,1,3,2,7,2,1,1,1,11,2,1,1,0
207,25922,17,4,1,0,0,2,1,0,0,0,2,1,1,3,2,7,1,1,1,1,14,2,1,1,0
208,26047,26,7,1,0,0,3,1,0,0,0,2,1,1,3,2,6,1,1,1,1,18,3,1,1,0
209,26175,35,9,1,0,0,3,0,0,0,0,2,1,0,2,2,5,1,1,1,1,24,5,1,0,0
210,26297,43,12,1,0,1,3,0,0,0,0,2,1,0,2,2,3,1,1,0,1,29,6,1,0,0
211,26422,46,13,1,0,1,3,0,0,0,0,2,1,0,2,2,2,1,1,1,1,30,7,1,0,0
212,26547,46,13,1,0,1,3,0,0,0,0,2,1,0,2,2,2,1,1,1,1,30,7,1,0,0
213,26674,36,11,1,0,1,2,0,1,0,0,1,1,0,2,2,1,2,1,1,1,24,8,1,0,0
214,26809,26,9,1,0,1,4,1,1,0,0,1,1,0,2,2,2,2,2,1,1,17,7,1,0,0
215,26923,17,7,1,1,1,20,4,4,1,0,2,1,0,2,2,2,3,2,1,1,11,5,1,0,0
216,27047,13,5,2,1,0,84,16,14,1,1,3,1,0,2,2,5,3,3,1,1,8,5,1,1,0
217,27174,13,5,3,1,0,220,42,33,3,1,4,0,0,2,2,8,3,4,2,1,9,5,2,1,0
218,27297,19,5,4,1,0,426,79,60,5,1,7,1,1,2,2,14,4,5,2,1,14,5,3,1,0
219,27423,31,7,5,1,1,660,122,89,7,1,9,1,1,1,3,21,5,5,2,1,24,7,4,1,0
220,27547,53,10,6,1,1,853,157,110,8,2,11,1,1,1,3,37,8,6,3,1,48,11,5,1,1
